Counter,Date/time,Latitude,Longitude,Temperature,Humidity,Magnetometer,Clouds
1,2023-05-03 03:56:12.797733,-39.287382680954316,131.87755891032137,32.2888,28.808,"{'x': 8.124938011169434, 'y': 0.3703151345252991, 'z': -7.3477911949157715}",32.98
2,2023-05-03 03:56:43.392866,-40.49730254312086,133.89240593985264,31.9865,28.7713,"{'x': 14.624847412109375, 'y': 0.8570805788040161, 'z': -13.278682708740234}",53.41
3,2023-05-03 03:57:13.991998,-41.62573667118484,135.91007902535623,32.3777,28.9059,"{'x': 19.563478469848633, 'y': 1.2456685304641724, 'z': -18.39906120300293}",110.24
4,2023-05-03 03:57:44.681579,-42.713346118903836,138.0038559036033,33.0,28.8386,"{'x': 23.730783462524414, 'y': 1.8245729207992554, 'z': -22.230144500732422}",153.12
5,2023-05-03 03:58:15.377220,-43.75889218353836,140.18057540735745,32.0932,28.7468,"{'x': 27.043790817260742, 'y': 2.467179775238037, 'z': -25.61831283569336}",156.66
6,2023-05-03 03:58:46.081336,-44.75613409594285,142.43669820847302,32.1466,28.5724,"{'x': 29.511478424072266, 'y': 3.026885747909546, 'z': -28.48723793029785}",137.09
7,2023-05-03 03:59:16.726880,-45.701310873482875,144.77265369758902,32.3599,28.7315,"{'x': 31.654380798339844, 'y': 3.560521364212036, 'z': -31.12140464782715}",93.38
8,2023-05-03 03:59:47.411807,-46.59136089865188,147.19003535070257,32.1466,28.5541,"{'x': 33.4066162109375, 'y': 4.339567184448242, 'z': -33.11026382446289}",60.55
9,2023-05-03 04:00:18.069329,-47.42270165579097,149.68856035466493,32.3599,28.6306,"{'x': 34.663177490234375, 'y': 5.006141185760498, 'z': -34.91120910644531}",44.15
10,2023-05-03 04:00:48.758409,-48.192166004295785,152.26846033833573,32.3244,28.6428,"{'x': 35.844085693359375, 'y': 5.747365951538086, 'z': -36.37195587158203}",23.32
11,2023-05-03 04:01:19.422332,-48.89623311518471,154.9280576828649,32.4488,28.5633,"{'x': 36.57685470581055, 'y': 6.4682416915893555, 'z': -37.49161148071289}",34.81
12,2023-05-03 04:01:50.127295,-49.5305762488397,157.66064506041695,32.68,28.4868,"{'x': 37.267677307128906, 'y': 7.123119354248047, 'z': -38.426300048828125}",49.29
13,2023-05-03 04:02:20.804267,-50.093150669118586,160.46750752777032,32.1821,28.7468,"{'x': 37.86567687988281, 'y': 7.7435197830200195, 'z': -39.207157135009766}",58.67
14,2023-05-03 04:02:51.475997,-50.5794879830651,163.33630910046222,32.8933,28.5174,"{'x': 38.26419448852539, 'y': 8.415054321289062, 'z': -39.69816589355469}",82.07
15,2023-05-03 04:03:22.133146,-50.98722037823294,166.2617975014374,32.0043,28.5571,"{'x': 38.638397216796875, 'y': 9.254085540771484, 'z': -39.995243072509766}",108.79
16,2023-05-03 04:03:52.798355,-51.31368701790171,169.23335552170764,32.4844,28.6398,"{'x': 38.79149627685547, 'y': 9.99977970123291, 'z': -40.27983093261719}",166.09
17,2023-05-03 04:04:23.484043,-51.5573310496096,172.246077993641,32.431,28.5296,"{'x': 38.80459976196289, 'y': 10.686952590942383, 'z': -40.51895523071289}",177.86
18,2023-05-03 04:04:54.153818,-51.71627220978428,175.2877166850033,32.4133,28.7315,"{'x': 39.05952072143555, 'y': 11.462388038635254, 'z': -40.58389663696289}",169.82
19,2023-05-03 04:05:24.833293,-51.78931829763323,178.34395900671979,32.3599,28.5633,"{'x': 39.09512710571289, 'y': 12.367340087890625, 'z': -40.624114990234375}",155.93
20,2023-05-03 04:05:55.488052,-51.77606011706491,-178.59459163937586,32.9644,28.8539,"{'x': 38.98639678955078, 'y': 13.221414566040039, 'z': -40.653343200683594}",102.91
21,2023-05-03 04:06:26.189795,-51.67666733775661,-175.5435687304282,32.0399,28.346,"{'x': 38.98347473144531, 'y': 13.948921203613281, 'z': -40.548744201660156}",106.04
22,2023-05-03 04:06:56.887343,-51.49148853201687,-172.50768759365567,32.1821,28.9182,"{'x': 38.85590744018555, 'y': 14.616164207458496, 'z': -40.49284744262695}",100.8
23,2023-05-03 04:07:27.550048,-51.22213227325827,-169.5057488795671,32.9644,28.6795,"{'x': 38.74047088623047, 'y': 15.240813255310059, 'z': -40.324459075927734}",95.99
24,2023-05-03 04:07:58.229052,-50.87007515557545,-166.5443946244088,32.9644,28.5388,"{'x': 38.76432418823242, 'y': 15.969476699829102, 'z': -40.08753967285156}",56.55
25,2023-05-03 04:08:28.924549,-50.43783008866899,-163.63550662271373,32.0043,28.5633,"{'x': 38.592506408691406, 'y': 16.69396209716797, 'z': -39.94343566894531}",43.07
26,2023-05-03 04:08:59.657665,-49.927415561513016,-160.7836573443146,32.0221,28.808,"{'x': 38.54389953613281, 'y': 17.518827438354492, 'z': -39.52545166015625}",28.21
27,2023-05-03 04:09:30.386903,-49.341497968323125,-157.99554938725498,32.3599,28.548,"{'x': 38.48903274536133, 'y': 18.175254821777344, 'z': -39.12351989746094}",6.22
28,2023-05-03 04:10:01.111524,-48.68389405811632,-155.28015965445363,32.7511,28.6183,"{'x': 38.34745407104492, 'y': 18.93709945678711, 'z': -38.637203216552734}",1.88
29,2023-05-03 04:10:31.818604,-47.95797745225064,-152.64147760405703,32.1643,28.6459,"{'x': 38.199615478515625, 'y': 19.625688552856445, 'z': -37.946231842041016}",0.09
30,2023-05-03 04:11:02.413506,-47.16836560907908,-150.08576597185024,32.0221,28.7989,"{'x': 38.063533782958984, 'y': 20.424806594848633, 'z': -37.33938217163086}",0.38
31,2023-05-03 04:11:33.145251,-46.31988235885921,-147.61722999208436,31.951,28.7468,"{'x': 37.89179611206055, 'y': 21.208635330200195, 'z': -36.84259796142578}",0.15
32,2023-05-03 04:12:03.867051,-45.41056811401467,-145.22101835460322,32.9644,29.0956,"{'x': 37.75597381591797, 'y': 21.961027145385742, 'z': -36.23152542114258}",0.09
33,2023-05-03 04:12:34.577656,-44.44737632525289,-142.90718854576647,32.1999,28.5602,"{'x': 37.70482635498047, 'y': 22.405954360961914, 'z': -35.34589767456055}",0.16
34,2023-05-03 04:13:05.282759,-43.43394218712696,-140.6749656756084,32.2888,28.8784,"{'x': 37.42338943481445, 'y': 23.145742416381836, 'z': -34.69104766845703}",0.32
35,2023-05-03 04:13:35.997724,-42.373452160807965,-138.5221788252954,32.6088,28.7591,"{'x': 37.35580825805664, 'y': 23.818010330200195, 'z': -33.797794342041016}",0.16
36,2023-05-03 04:14:06.728015,-41.26869313445691,-136.44578074107073,31.8798,29.218,"{'x': 37.11416244506836, 'y': 24.381704330444336, 'z': -33.15277099609375}",0.11
37,2023-05-03 04:14:37.445280,-40.122029253028366,-134.44207657360002,32.1288,28.8601,"{'x': 37.0865478515625, 'y': 25.004539489746094, 'z': -32.33030319213867}",0.1
38,2023-05-03 04:15:08.143225,-38.93787100750979,-132.5108222832148,31.7732,28.9212,"{'x': 36.9893684387207, 'y': 25.511993408203125, 'z': -31.607160568237305}",0.0
39,2023-05-03 04:15:38.817343,-37.72026503636977,-130.65060123443894,32.84,28.8325,"{'x': 36.71013641357422, 'y': 26.045488357543945, 'z': -30.74175262451172}",0.0
